GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academic-system,org.example.academic.system.service,AssessmentService,24,66,3,6,6,19,4,7,1,4
academic-system,org.example.academic.system.service,PersistenceService,4,73,1,2,1,20,1,7,0,6
academic-system,org.example.academic.system.service,TurmaService,6,28,0,0,3,9,1,3,1,3
academic-system,org.example.academic.system.service,ReportService,17,189,4,10,3,37,4,8,0,5
academic-system,org.example.academic.system.repository,PersistenceType,0,21,0,0,0,4,0,1,0,1
academic-system,org.example.academic.system.repository,JsonAcademicClassRepository,14,37,0,0,3,10,0,3,0,3
academic-system,org.example.academic.system.repository,UserTxtRepository,3,0,0,0,2,0,1,0,1,0
academic-system,org.example.academic.system.repository,XmlAcademicClassRepository,14,168,0,4,3,40,0,5,0,3
academic-system,org.example.academic.system.repository,TxtAcademicClassRepository,14,80,0,6,3,22,0,6,0,3
academic-system,org.example.academic.system.validation,DomainValidator,3,38,0,2,1,10,1,4,1,3
academic-system,org.example.academic.system,AcademicSystemApplication,277,0,22,0,78,0,14,0,3,0
academic-system,org.example.academic.system.controller,AcademicSystemController,105,63,2,4,23,17,9,6,7,5
academic-system,org.example.academic.system.controller,AuthenticationController,26,0,0,0,7,0,2,0,2,0
academic-system,org.example.academic.system.security,User,4,37,2,2,0,9,2,3,0,3
academic-system,org.example.academic.system.security,RoleBasedMenu,132,0,4,0,27,0,7,0,5,0
academic-system,org.example.academic.system.security,AuthenticationService,5,121,1,11,2,27,2,12,1,7
academic-system,org.example.academic.system.security,Session,9,26,2,4,3,9,2,7,1,5
academic-system,org.example.academic.system.security,Role,0,15,0,0,0,3,0,1,0,1
academic-system,org.example.academic.system.security,UserRepository,131,4,12,0,30,1,10,1,4,1
academic-system,org.example.academic.system.exception,InvalidMenuOptionException,9,0,0,0,4,0,2,0,2,0
academic-system,org.example.academic.system.exception,AcademicSystemException,5,4,0,0,2,2,1,1,1,1
academic-system,org.example.academic.system.exception,ClassRegistrationException,9,0,0,0,4,0,2,0,2,0
academic-system,org.example.academic.system.exception,KeyboardInputException,9,0,0,0,4,0,2,0,2,0
academic-system,org.example.academic.system.exception,AuthenticationException,5,4,0,0,2,2,1,1,1,1
academic-system,org.example.academic.system.exception,AuthorizationException,5,4,0,0,2,2,1,1,1,1
academic-system,org.example.academic.system.exception,AssessmentException,9,0,0,0,4,0,2,0,2,0
academic-system,org.example.academic.system.exception,InvalidNumericInputException,9,0,0,0,4,0,2,0,2,0
academic-system,org.example.academic.system.exception,SecurityException,5,4,0,0,2,2,1,1,1,1
academic-system,org.example.academic.system.view.javafx,LoginScreenController,147,0,4,0,41,0,9,0,7,0
academic-system,org.example.academic.system.view.javafx,AssessmentRegistrationController,204,0,14,0,48,0,14,0,7,0
academic-system,org.example.academic.system.view.javafx,ClassRegistrationController,137,0,8,0,34,0,10,0,6,0
academic-system,org.example.academic.system.view.javafx,MainScreenController,283,0,16,0,73,0,26,0,18,0
academic-system,org.example.academic.system.view.javafx,PersistenceConfigController,142,0,6,0,34,0,8,0,5,0
academic-system,org.example.academic.system.view.javafx,JavaFXMain,46,0,0,0,15,0,3,0,3,0
academic-system,org.example.academic.system.view.javafx,ReportScreenController,80,0,2,0,25,0,10,0,9,0
academic-system,org.example.academic.system.view.javafx,VisualizationScreenController,149,0,2,0,34,0,12,0,11,0
academic-system,org.example.academic.system.model,PracticalAssignment,10,0,0,0,3,0,3,0,3,0
academic-system,org.example.academic.system.model,AcademicClass,35,20,4,0,5,7,5,2,3,2
academic-system,org.example.academic.system.model,Role,0,15,0,0,0,3,0,1,0,1
academic-system,org.example.academic.system.model,Seminar,10,0,0,0,3,0,3,0,3,0
academic-system,org.example.academic.system.model,Assignment,10,0,0,0,3,0,3,0,3,0
academic-system,org.example.academic.system.model,Turma,5,0,0,0,2,0,1,0,1,0
academic-system,org.example.academic.system.model,Exam,3,7,0,0,1,2,1,2,1,2
academic-system,org.example.academic.system.model,Assessment,14,34,1,1,2,12,3,5,2,5
academic-system,org.example.academic.system.model,AcademicSystem,0,39,0,2,0,11,0,7,0,6
academic-system,org.example.academic.system.model,User,29,12,4,0,4,5,4,1,2,1
